"NM","metric","estimator","value"
"20×20","Bias","IID DML",0.0653936285967181
"20×20","Bias","2w",0.579342942005698
"20×20","Variance","IID DML",0.121840111690525
"20×20","Variance","2w",94.0464663722176
"20×20","MSE","IID DML",0.120685359043376
"20×20","MSE","2w",94.0932430922862
"20×20","CPU time (s)","IID DML",0.738844000000001
"20×20","CPU time (s)","2w",3.554556
"40×40","Bias","IID DML",0.00265180355585142
"40×40","Bias","2w",0.00116580183298292
"40×40","Variance","IID DML",0.0218999020452381
"40×40","Variance","2w",0.034732806145062
"40×40","MSE","IID DML",0.0197617583696112
"40×40","MSE","2w",0.0320346807040343
"40×40","CPU time (s)","IID DML",1.29796599999999
"40×40","CPU time (s)","2w",5.78249200000002
"60×60","Bias","IID DML",0.00468568994380082
"60×60","Bias","2w",0.00664830563644317
"60×60","Variance","IID DML",0.011620670599601
"60×60","Variance","2w",0.0161180138958341
"60×60","MSE","IID DML",0.0109655617536151
"60×60","MSE","2w",0.0156523314803547
"60×60","CPU time (s)","IID DML",2.30153600000003
"60×60","CPU time (s)","2w",9.68086399999998
"80×80","Bias","IID DML",0.00470561314848885
"80×80","Bias","2w",0.00493941776924818
"80×80","Variance","IID DML",0.00928257841507405
"80×80","Variance","2w",0.00975563770346355
"80×80","MSE","IID DML",0.00877045801955755
"80×80","MSE","2w",0.00917983052581471
"80×80","CPU time (s)","IID DML",3.78294399999997
"80×80","CPU time (s)","2w",15.99015
