"NM","metric","estimator","value"
"20×20","Bias","IID DML",-0.0828068221465648
"20×20","Bias","2w",-0.383465821340127
"20×20","Variance","IID DML",0.089205027508547
"20×20","Variance","2w",0.623933227780362
"20×20","MSE","IID DML",0.0912691359723107
"20×20","MSE","2w",0.528925151974142
"20×20","CPU time (s)","IID DML",0.111599999999999
"20×20","CPU time (s)","2w",0.468999999999983
"40×40","Bias","IID DML",-0.11590867561846
"40×40","Bias","2w",0.00712782291378569
"40×40","Variance","IID DML",0.00863752737268087
"40×40","Variance","2w",0.123105005614461
"40×40","MSE","IID DML",0.0131998546271599
"40×40","MSE","2w",0.105828959066407
"40×40","CPU time (s)","IID DML",0.215199999999993
"40×40","CPU time (s)","2w",0.9596
"60×60","Bias","IID DML",0.246650616630211
"60×60","Bias","2w",-0.192655054455232
"60×60","Variance","IID DML",0.124248675983956
"60×60","Variance","2w",0.395612655025581
"60×60","MSE","IID DML",0.133726689167057
"60×60","MSE","2w",0.345976230433523
"60×60","CPU time (s)","IID DML",0.431400000000008
"60×60","CPU time (s)","2w",1.86999999999999
