"method","T","bias","variance","mse","mean_time"
"iid",400,0.0101410083986164,0.00910565467241817,0.00829792925651716,0.486000000000013
"nlo",400,0.00478897756732758,0.00891514560138226,0.0080465653473844,0.514999999999964
"none",400,-0.00771833141060367,0.0107875390136555,0.00976835775205387,0.0921000000000731
"iid",900,-0.00568463599099781,0.013466584920566,0.0121522415148595,0.869200000000001
"nlo",900,-0.0122987057311705,0.0147372260930436,0.0134147616464011,0.855100000000084
"none",900,-0.065777392376558,0.00344580960572986,0.00742789399301654,0.179100000000017
"iid",1600,0.0208886416119228,0.00338657702341445,0.00348425466946436,1.61540000000018
"nlo",1600,0.0337083749386008,0.00306796385482075,0.00389742201033997,1.59940000000001
"none",1600,-0.0662440673826126,0.00228707430914016,0.00644664334161826,0.372800000000007
"iid",2500,0.016933078928213,0.00155770507047879,0.00168866372542001,2.87710000000006
"nlo",2500,0.017942563645684,0.00148430068965506,0.00165780621086898,2.90240000000003
"none",2500,-0.0330624452012563,0.00141653922144789,0.00236801058198917,0.648199999999952
